id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
1756002,Stardom in Korakuen 2026 Sep.,0.0,0,In Production,2026-09-06,0,0,False,/nV2QSRSjxLlkV3q0c7cyNt3n1As.jpg,0,https://wwr-stardom.com/schedule/20260906_korakuen/,,ja,STARDOM in KORAKUEN 2026 Sep.,"Stardom in Korakuen 2026 Sep. was a professional wrestling event promoted by World Wonder Ring Stardom, held on September 6, 2026 at Korakuen Hall in Tokyo, Japan.",0.0214,,,"Action, Drama","World Wonder Ring Stardom, Bushiroad",Japan,Japanese,"wrestling, tokyo, japan, pro wrestling, women's wrestling, joshi puroresu, korakuen hall, world wonder ring stardom"
1696364,Química,0.0,0,Released,2025-01-28,0,7,False,,0,,,es,Química,Laura and Pablo are a well-established couple going through the complicated adoption process. What seemed like an administrative procedure becomes a test for their relationship: they must also face the fears and secrets that threaten to separate them.,0.0143,/fqw4zgPyKF5u4Oe17fwv7EwlbIl.jpg,,,,,Spanish,
1420095,Mr. Lawnmower,0.0,0,Released,,0,0,False,,0,,,it,Mr. Lawnmower,,0.9,/lXNOQ1eX8NH04nyqnmNCK8KrS7j.jpg,,"Documentary, Drama",,,,
1483229,Frat Boys... On the Loose 6,0.0,0,Released,2002-08-24,0,83,True,,0,,,en,Frat Boys... On the Loose 6,Tour a sex-soaked college campus where eXXXellence in higher education is measured in inches.,0.0,/nUjSHtkTfiKa7ckhQBCxmS8nqqm.jpg,,,Regiment Productions,,,
1057937,Cops In Cuffs,0.0,0,Released,2017-05-19,0,0,True,,0,,,en,Cops In Cuffs,"After decades of persecution, disparagement, vilification, harassment, and abuse at the hands of the police, it's about time for these hardcore fags to bash back and put Cops in Cuffs. Renowned fetish director Tom Moore captures all the action as Max Cameron and Scott Demarco literally fuck the police, capturing Officer Kirk Cummings and teaching the pig a lesson he won't soon forget. Officer Kirk tries to arrest Max as he's loitering in his favorite cruising area, but Max flips the script on him and locks Kirk up in his own handcuffs. To teach the pig a lesson, Max uses a paddle, a flogger, and his own dick. After using and abusing all of Kirk's holes, Max calls up his buddy Scott Demarco to take over. Scott uses an assortment of massive dildos to stretch out Kirk's mouth and ass, then gives him an intense pounding before cumming all over Kirk's chest. When the pigs try to fuck with you, do what these punks do, and put Cops in Cuffs.",0.6,/koyXYTdJEXyRPqOhj2iID1CSmUk.jpg,,,"Fetish Force, Raging Stallion Studios",United States of America,English,gay pornography
1125688,Sally,0.0,0,Released,2023-05-06,0,4,False,,0,,,en,Sally,"After his car breaks down, a man seeks refuge at a seemingly abandoned mansion. [Overview Courtesy of Coney Island Film Festival]",0.6,/lpylr8GyNvHqcygH4ydNK50Ij9L.jpg,,,,United States of America,,
163259,País do Desejo,0.0,0,Released,2012-01-26,0,86,False,,0,,tt2156927,pt,País do Desejo,"Roberta is a renowned classical pianist battling a chronic kidney disease. However, an unexpected encounter with Father José will forever change her life.",0.6,/fVBwOBg3U3affK9ULuNKqWAm1Vm.jpg,,Drama,Bananeira Filmes,Brazil,Portuguese,
1452890,irrationality,0.0,0,Released,,0,0,False,,2,,,en,irrationality,,0.0,,,,,,,
1096701,The Ethics and Morality of Being a Vampire,0.0,0,Released,2022-10-28,0,6,False,,0,,,en,The Ethics and Morality of Being a Vampire,"Ascelin and Killian are vampires who have been best friends for hundreds of years, but their relationship is strained when Ascelin begins feeling guilty for their murderous feasts.",0.6,/fztkTTw5YvckNltglbKwnKTbMT.jpg,,"Horror, Comedy",,,,
698350,WRC 1991 - FIA World Rally Championship,0.0,0,Released,1991-12-31,0,112,False,,0,https://www.dukevideo.com/prd4966ED/World-Rally-Championship-1991-Review-Download,,en,WRC 1991 - FIA World Rally Championship,"From the first special stage on the Monte-Carlo, to the final chequered flag on the RAC, Carlos Sainz (Toyota Celica GT4) and Juha Kankkunen (Lancia Delta 16v Integrale) waged a year-long battle for the Drivers World Championship, a battle destined to be won and lost on the very last event of the year, the RAC Rally. Auriol, Schwarz, Biasion, Eriksson, Wilson, Mitsubishi, Ford, Mazda, Subaru gave chase all the way through the 14 round series. The highs and lows of another incredible rally season are yours on this spectacular, newly re-vamped programme, featuring all rounds of the championship.",0.6,,,,,,,
1154481,Bring Dat Mono Back,0.0,0,Released,,0,57,False,,0,,,en,Bring Dat Mono Back,"In the early 2000s, the nightclub Monastery was the place to be and where the dance the “Mono” (or the ""Monastery"") originated, which the Riverfront times called it the ""Best Dance Craze"" in 2002. In this lively documentary we look at how the Monastery changed the history of St. Louis music and dance culture.",0.6,/vI2tfzKBEgKL2D8mEdlO3HZitAs.jpg,,Documentary,,,English,
1604792,Grave Digger - Live at Rock Hard Festival 2022,0.0,0,Released,2022-07-20,0,56,False,,0,,,en,Grave Digger - Live at Rock Hard Festival 2022,Setlist : 01. The Dark of the Sun 02. Excalibur 03. The Clans Will Rise Again 04. Lions of the Sea 05. The Ballad of Mary (Queen of Scots) 06. The Heart of Scotland 07. Highland Farewell 08. Hell Is My Purgatory 09. Rebellion (The Clans Are Marching) 10. Heavy Metal Breakdown,0.0071,/cSLvFJ8ldsDep8P3tI9RPnFLuPs.jpg,,Music,,,,
636258,Американская трагедия,0.0,0,Released,,0,0,False,/5oBa0dvdoqmUbQrSYpqxigPtkbJ.jpg,0,,,ru,Американская трагедия,,0.6,/eSB11IzngNImmtSGkox0yidods3.jpg,,,,,,
797270,The Khashoggi Murder Tapes,0.0,0,Released,,0,29,False,,0,,tt11050376,en,The Khashoggi Murder Tapes,"A year on from the assassination of journalist Jamal Khashoggi, Panorama investigates his brutal murder inside the Saudi consulate in Istanbul. Reporter Jane Corbin speaks to some of the very few people who have listened to covert recordings from inside the diplomatic building, revealing the full details of what happened to Khashoggi, the hit squad sent to kill him and the cover-up that followed. The programme also hears evidence that responsibility for the murder goes to the highest levels of the Kingdom of Saudi Arabia. Has the West has turned a blind eye to state-sanctioned murder so that lucrative trade deals can flourish?",0.6,,,,,,,
1303752,Sean ja Suomen vihatuin koiramies,0.0,0,Released,,0,11,False,,0,,,fi,Sean ja Suomen vihatuin koiramies,"People are upset at David Lopez, who let's his dog Nala walk off-leash. Lopez loves Finland, but he's now being hated because of his dog. Why are freedom and rebellion more important than acceptance from others?",0.6,/6Q2LbuxavxEL5XVUNCZOg5LIZPG.jpg,,Documentary,,,Finnish,
1416783,Oasis,0.0,0,Released,,0,0,False,,0,,,en,Oasis,,0.0,,,,,,,
865623,Im Westen ging die Sonne auf,0.0,0,Released,2002-10-22,0,84,False,,0,,tt0322722,de,Im Westen ging die Sonne auf,"The mining industry, which always had been “sponsor” and “financier” of the soccer clubs in the Ruhr valley during the post-war period, doesn’t exist anymore nowadays in that form. Many of the once glorious clubs which dominated German soccer until the 1970s faded into obscurity without financial backers. The documentary “Im Westen ging die Sonne auf"" (""The sun had risen in the west“) shows the history of the “Revierfußball” from after the second World War until the decline of the mining industry and recalls legendary players and forgotten clubs. The film shows especially how deeply rooted the sport was back then in the entire lifestyle of the Ruhr area - in private life as well as in society - and how structural change also left clearly visible marks in sports. With pictures from back then, interviews with contemporary witnesses, and footage of original locations nowadays, a contemporary document of German post-war history, by taking the example of soccer, has been created.",0.6,/exzHJHAuCCaGli5uxqTAxaTNBbw.jpg,,Documentary,"MGS Film, WDR, Multimedia Film und Fernseh, Filmstiftung Nordrhein-Westfalen",Germany,German,"germany, mining, football (soccer), sports documentary"
984221,Pounding Big Asses,0.0,0,Released,2021-05-18,0,0,True,,0,,,en,Pounding Big Asses,"The bigger the cushion, the sweeter the pushin'! That's the motto for this hot big-ass anal release that delivers the roundest, fullest-plump-in-all-the-right-places butts that you'd ever get to fuck in one place! These lucky fuckers grab way more than a handful of ass in each hand as they pound away in pure big-bottom-back-door bliss!",0.6,/gJVp2ryfwzKZbUmI8TvhxOH1hHi.jpg,,,Zero Tolerance,,,
1680063,CIENCIA FICCIÓN RE POBRE,0.0,0,Released,,0,0,False,,0,,,es,CIENCIA FICCIÓN RE POBRE,,0.0,,,,,,,
370510,Tom Wants to Die,0.0,0,Released,2014-05-01,0,11,False,,0,https://www.facebook.com/tomwantstodie,tt3719294,en,Tom Wants to Die,Tom has a power he doesn't want. He can't die. The world has ended and he is the last survivor. Tom Wants To Die is the story of how he discovered his power and his suicidal journey to enlightenment.,0.6,,How do you save the world when you're the only one left alive?,"Comedy, Drama",,United States of America,English,short film
594427,Face Off 4: The Walking Guests,5.0,1,Released,2019-04-12,0,100,False,/835guDbaBaEwmw6fFBUR2w7LaSK.jpg,0,,tt10111404,vi,Lật Mặt: Nhà Có Khách,"When a woman and her friends visit her home village to find a location for a client's wedding photoshoot, terror shifts their focus.",1.001,/mv1NUDng56yQbhePf4bi5YPAyPG.jpg,,"Comedy, Horror",,Vietnam,Vietnamese,
